0.926,0.65875
0.928,0.55363
0.93,0.40679
0.932,0.28386
0.934,0.13604
0.936,0.15267
0.938,0.18962
0.94,0.44411
0.942,0.38192
0.944,0.26987
0.946,0.18409
0.948,0.25911
0.95,0.13944
0.952,0.25418
0.954,0.39988
0.956,0.30996
0.958,0.43453
0.96,0.39685
0.962,0.41664
0.964,0.43242
0.966,0.47377
0.968,0.61301
0.97,0.59689
0.972,0.64629
0.974,0.5417
0.976,0.53872
0.978,0.57903
0.98,0.56941
0.982,0.65102
0.984,0.6929
0.986,0.70553
0.988,0.69059
0.99,0.68843
0.992,0.70597
0.994,0.70891
0.996,0.70409
0.998,0.69481
1,0.69159
1.002,0.68498
1.004,0.68056
1.006,0.67047
1.008,0.68407
1.01,0.67695
1.012,0.67667
1.014,0.67848
1.016,0.66976
1.018,0.67263
1.02,0.65839
1.022,0.6498
1.024,0.65077
1.026,0.65625
1.028,0.65398
1.03,0.65092
1.032,0.64852
1.034,0.64136
1.036,0.64323
1.038,0.63361
1.04,0.63366
1.042,0.63406
1.044,0.63067
1.046,0.61078
1.048,0.62559
1.05,0.61802
1.052,0.61487
1.054,0.61048
1.056,0.61055
1.058,0.60286
1.06,0.60073
1.062,0.59782
1.064,0.59722
1.066,0.5833
1.068,0.58561
1.07,0.57178
1.072,0.58194
1.074,0.5878
1.076,0.58141
1.078,0.57076
1.08,0.56519
1.082,0.55773
1.084,0.54775
1.086,0.52496
1.088,0.56159
1.09,0.52656
1.092,0.55048
1.094,0.5112
1.096,0.47731
1.098,0.47709
1.1,0.46113
1.102,0.44513
1.104,0.44412
1.106,0.3784
1.108,0.39517
1.11,0.45496
1.112,0.3933
1.114,0.28576
1.116,0.19223
1.118,0.20763
1.12,0.13562
1.122,0.07816
1.124,0.10397
1.126,0.04939
1.128,0.09495
1.13,0.06757
1.132,0.22359
1.134,0.03999
1.136,0.1232
1.138,0.19428
1.14,0.24447
1.142,0.21481
1.144,0.10843
1.146,0.15085
1.148,0.25898
1.15,0.11648
1.152,0.23666
1.154,0.13643
1.156,0.26837
1.158,0.2977
1.16,0.27371
1.162,0.33412
1.164,0.38332
1.166,0.35781
1.168,0.40018
1.17,0.43731
1.172,0.4337
1.174,0.32193
1.176,0.45447
1.178,0.34391
1.18,0.42052
1.182,0.30903
1.184,0.40083
1.186,0.45518
1.188,0.32039
1.19,0.44124
1.192,0.45171
1.194,0.44751
1.196,0.41188
1.198,0.41426
1.2,0.42789
1.202,0.41743
1.204,0.34645
1.206,0.45872
1.208,0.41379
1.21,0.43267
1.212,0.40572
1.214,0.41443
1.216,0.44509
1.218,0.43842
1.22,0.43724
1.222,0.43096
1.224,0.42788
1.226,0.44696
1.228,0.44544
1.23,0.43928
1.232,0.44525
1.234,0.44893
1.236,0.44795
1.238,0.44694
1.24,0.44011
1.242,0.44179
1.244,0.43499
1.246,0.43902
1.248,0.43828
1.25,0.43684
1.252,0.43106
1.254,0.42416
1.256,0.42096
1.258,0.42549
1.26,0.41235
1.262,0.37867
1.264,0.35568
1.266,0.36881
1.268,0.35475
1.27,0.37087
1.272,0.39114
1.274,0.38864
1.276,0.39895
1.278,0.40916
1.28,0.40387
1.282,0.35695
1.284,0.40268
1.286,0.40878
1.288,0.40192
1.29,0.39522
1.292,0.37946
1.294,0.38709
1.296,0.37322
1.298,0.37536
1.3,0.33855
1.302,0.37539
1.304,0.28849
1.306,0.36853
1.308,0.33277
1.31,0.28908
1.312,0.31986
1.314,0.2769
1.316,0.31113
1.318,0.31984
1.32,0.24864
1.322,0.29023
1.324,0.25231
1.326,0.26956
1.328,0.22555
1.33,0.22052
1.332,0.14046
1.334,0.16302
1.336,0.1767
1.338,0.17151
1.34,0.16216
1.342,0.17149
1.344,0.07302
1.346,0.05619
1.348,0.00459
1.35,0.01549
1.352,0.00147
1.354,2.81E-04
1.356,4.65E-05
1.358,4.06E-06
1.36,2.07E-06
1.362,1.75E-11
