0.3,3.2313,0.39446
0.302,3.22837,0.3783
0.304,3.2254,0.43933
0.306,3.22237,0.52615
0.308,3.21928,0.58735
0.31,3.21614,0.57154
0.312,3.21295,0.4395
0.314,3.20969,0.32181
0.316,3.20638,0.28026
0.318,3.203,0.29237
0.32,3.19956,0.33554
0.322,3.19606,0.38717
0.324,3.19249,0.42585
0.326,3.18886,0.44529
0.328,3.18516,0.44956
0.33,3.18139,0.44294
0.332,3.17754,0.42971
0.334,3.17363,0.41414
0.336,3.16964,0.40049
0.338,3.16558,0.39141
0.34,3.16144,0.38625
0.342,3.15722,0.38397
0.344,3.15292,0.38356
0.346,3.14854,0.38398
0.348,3.14408,0.38436
0.35,3.13954,0.38455
0.352,3.13491,0.38459
0.354,3.13019,0.38451
0.356,3.12539,0.38434
0.358,3.12049,0.3841
0.36,3.11551,0.38384
0.362,3.11043,0.38356
0.364,3.10528,0.38326
0.366,3.10008,0.38296
0.368,3.09484,0.38263
0.37,3.08959,0.3823
0.372,3.08435,0.38195
0.374,3.07914,0.38158
0.376,3.07397,0.38121
0.378,3.06888,0.38082
0.38,3.06388,0.38042
0.382,3.059,0.38001
0.384,3.05425,0.37959
0.386,3.04965,0.37916
0.388,3.04523,0.37872
0.39,3.04101,0.37827
0.392,3.037,0.37781
0.394,3.03324,0.37734
0.396,3.02973,0.37686
0.398,3.02651,0.37638
0.4,3.2313,0.39446
0.402,3.22837,0.3783
0.404,3.2254,0.43933
0.406,3.22237,0.52615
0.408,3.21928,0.58735
0.41,3.21614,0.57154
0.412,3.21295,0.4395
0.414,3.20969,0.32181
0.416,3.20638,0.28026
0.418,3.203,0.29237
0.42,3.19956,0.33554
0.422,3.19606,0.38717
0.424,3.19249,0.42585
0.426,3.18886,0.44529
0.428,3.18516,0.44956
0.43,3.18139,0.44294
0.432,3.17754,0.42971
0.434,3.17363,0.41414
0.436,3.16964,0.40049
0.438,3.16558,0.39141
0.44,3.16144,0.38625
0.442,3.15722,0.38397
0.444,3.15292,0.38356
0.446,3.14854,0.38398
0.448,3.14408,0.38436
0.45,3.13954,0.38455
0.452,3.13491,0.38459
0.454,3.13019,0.38451
0.456,3.12539,0.38434
0.458,3.12049,0.3841
0.46,3.11551,0.38384
0.462,3.11043,0.38356
0.464,3.10528,0.38326
0.466,3.10008,0.38296
0.468,3.09484,0.38263
0.47,3.08959,0.3823
0.472,3.08435,0.38195
0.474,3.07914,0.38158
0.476,3.07397,0.38121
0.478,3.06888,0.38082
0.48,3.06388,0.38042
0.482,3.059,0.38001
0.484,3.05425,0.37959
0.486,3.04965,0.37916
0.488,3.04523,0.37872
0.49,3.04101,0.37827
0.492,3.037,0.37781
0.494,3.03324,0.37734
0.496,3.02973,0.37686
0.498,3.02651,0.37638
0.5,3.2313,0.39446
0.502,3.22837,0.3783
0.504,3.2254,0.43933
0.506,3.22237,0.52615
0.508,3.21928,0.58735
0.51,3.21614,0.57154
0.512,3.21295,0.4395
0.514,3.20969,0.32181
0.516,3.20638,0.28026
0.518,3.203,0.29237
0.52,3.19956,0.33554
0.522,3.19606,0.38717
0.524,3.19249,0.42585
0.526,3.18886,0.44529
0.528,3.18516,0.44956
0.53,3.18139,0.44294
0.532,3.17754,0.42971
0.534,3.17363,0.41414
0.536,3.16964,0.40049
0.538,3.16558,0.39141
0.54,3.16144,0.38625
0.542,3.15722,0.38397
0.544,3.15292,0.38356
0.546,3.14854,0.38398
0.548,3.14408,0.38436
0.55,3.13954,0.38455
0.552,3.13491,0.38459
0.554,3.13019,0.38451
0.556,3.12539,0.38434
0.558,3.12049,0.3841
0.56,3.11551,0.38384
0.562,3.11043,0.38356
0.564,3.10528,0.38326
0.566,3.10008,0.38296
0.568,3.09484,0.38263
0.57,3.08959,0.3823
0.572,3.08435,0.38195
0.574,3.07914,0.38158
0.576,3.07397,0.38121
0.578,3.06888,0.38082
0.58,3.06388,0.38042
0.582,3.059,0.38001
0.584,3.05425,0.37959
0.586,3.04965,0.37916
0.588,3.04523,0.37872
0.59,3.04101,0.37827
0.592,3.037,0.37781
0.594,3.03324,0.37734
0.596,3.02973,0.37686
0.598,3.02651,0.37638
0.6,3.02357,3.76E-01
0.602,3.02091,3.75E-01
0.604,3.01848,3.75E-01
0.606,3.01626,3.74E-01
0.608,3.01422,3.74E-01
0.61,3.01234,3.73E-01
0.612,3.01058,3.73E-01
0.614,3.00891,3.72E-01
0.616,3.00731,3.72E-01
0.618,3.00575,3.71E-01
0.62,3.00423,3.71E-01
0.622,3.00273,3.70E-01
0.624,3.00125,3.70E-01
0.626,2.99981,3.69E-01
0.628,2.99839,3.68E-01
0.63,2.99699,3.68E-01
0.632,2.99562,3.67E-01
0.634,2.99426,3.67E-01
0.636,2.99293,3.66E-01
0.638,2.99162,3.66E-01
0.64,2.99032,3.65E-01
0.642,2.98904,3.64E-01
0.644,2.98778,3.64E-01
0.646,2.98653,3.63E-01
0.648,2.98529,3.63E-01
0.65,2.98406,3.62E-01
0.652,2.98285,3.62E-01
0.654,2.98164,3.61E-01
0.656,2.98044,3.61E-01
0.658,2.97925,3.60E-01
0.66,2.97806,3.60E-01
0.662,2.97688,3.59E-01
0.664,2.97569,3.58E-01
0.666,2.97451,3.58E-01
0.668,2.97333,3.57E-01
0.67,2.97215,3.57E-01
0.672,2.97097,3.56E-01
0.674,2.96978,3.56E-01
0.676,2.96859,3.55E-01
0.678,2.96739,3.55E-01
0.68,2.96618,3.55E-01
0.682,2.96497,3.54E-01
0.684,2.96374,3.54E-01
0.686,2.9625,3.53E-01
