wl,n,k
6.04E-01,3.93E+00,1.93E-02
6.06E-01,3.93E+00,1.90E-02
6.08E-01,3.92E+00,1.87E-02
6.10E-01,3.92E+00,1.85E-02
6.12E-01,3.91E+00,1.83E-02
6.14E-01,3.91E+00,1.80E-02
6.16E-01,3.90E+00,1.78E-02
6.18E-01,3.90E+00,1.76E-02
6.20E-01,3.90E+00,1.74E-02
6.22E-01,3.89E+00,1.72E-02
6.24E-01,3.89E+00,1.70E-02
6.26E-01,3.89E+00,1.68E-02
6.28E-01,3.88E+00,1.66E-02
6.30E-01,3.88E+00,1.64E-02
6.32E-01,3.88E+00,1.62E-02
6.34E-01,3.87E+00,1.60E-02
6.36E-01,3.87E+00,1.59E-02
6.38E-01,3.86E+00,1.57E-02
6.40E-01,3.86E+00,1.55E-02
6.42E-01,3.86E+00,1.53E-02
6.44E-01,3.85E+00,1.51E-02
6.46E-01,3.85E+00,1.49E-02
6.48E-01,3.85E+00,1.47E-02
6.50E-01,3.84E+00,1.45E-02
6.52E-01,3.84E+00,1.43E-02
6.54E-01,3.84E+00,1.41E-02
6.56E-01,3.84E+00,1.39E-02
6.58E-01,3.83E+00,1.37E-02
6.60E-01,3.83E+00,1.36E-02
6.62E-01,3.83E+00,1.34E-02
6.64E-01,3.82E+00,1.32E-02
6.66E-01,3.82E+00,1.30E-02
6.68E-01,3.82E+00,1.29E-02
6.70E-01,3.82E+00,1.27E-02
6.72E-01,3.81E+00,1.25E-02
6.74E-01,3.81E+00,1.24E-02
6.76E-01,3.81E+00,1.22E-02
6.78E-01,3.80E+00,1.21E-02
6.80E-01,3.80E+00,1.20E-02
6.82E-01,3.80E+00,1.18E-02
6.84E-01,3.79E+00,1.17E-02
6.86E-01,3.79E+00,1.15E-02
6.88E-01,3.79E+00,1.14E-02
6.90E-01,3.79E+00,1.13E-02
6.92E-01,3.78E+00,1.11E-02
6.94E-01,3.78E+00,1.10E-02
6.96E-01,3.78E+00,1.09E-02
6.98E-01,3.78E+00,1.07E-02
7.00E-01,3.77E+00,1.06E-02
7.02E-01,3.77E+00,1.05E-02
7.04E-01,3.77E+00,1.03E-02
7.06E-01,3.77E+00,1.02E-02
7.08E-01,3.76E+00,1.01E-02
7.10E-01,3.76E+00,1.00E-02
7.12E-01,3.76E+00,9.90E-03
7.14E-01,3.76E+00,9.80E-03
7.16E-01,3.76E+00,9.71E-03
7.18E-01,3.75E+00,9.61E-03
7.20E-01,3.75E+00,9.51E-03
7.22E-01,3.75E+00,9.41E-03
7.24E-01,3.75E+00,9.29E-03
7.26E-01,3.74E+00,9.18E-03
7.28E-01,3.74E+00,9.06E-03
7.30E-01,3.74E+00,8.95E-03
7.32E-01,3.74E+00,8.83E-03
7.34E-01,3.74E+00,8.71E-03
7.36E-01,3.74E+00,8.60E-03
7.38E-01,3.73E+00,8.48E-03
7.40E-01,3.73E+00,8.36E-03
7.42E-01,3.73E+00,8.24E-03
0.744,3.72842,0.00812
0.746,3.72662,0.008
0.748,3.72481,0.00788
0.75,3.723,0.00776
0.752,3.72119,0.00764
0.754,3.71939,0.00752
0.756,3.71759,0.00741
0.758,3.71579,0.0073
0.76,3.714,0.0072
0.762,3.71221,0.0071
0.764,3.71041,0.00701
0.766,3.70862,0.00692
0.768,3.70681,0.00683
0.77,3.705,0.00674
0.772,3.70318,0.00665
0.774,3.70135,0.00655
0.776,3.69954,0.00646
0.778,3.69775,0.00636
0.78,3.696,0.00627
0.782,3.6943,0.00618
0.784,3.69264,0.00609
0.786,3.69104,0.006
0.788,3.68949,0.00592
0.79,3.688,0.00583
0.792,3.68656,0.00575
0.794,3.68516,0.00566
0.796,3.68377,0.00558
0.798,3.68239,0.0055
0.8,3.681,0.00541
0.802,3.67958,0.00533
0.804,3.67815,0.00524
0.806,3.67673,0.00516
0.808,3.67534,0.00508
0.81,3.674,0.005
0.812,3.67273,0.00492
0.814,3.67151,0.00484
0.816,3.67033,0.00476
0.818,3.66917,0.00469
0.82,3.668,0.00461
0.822,3.66682,0.00454
0.824,3.66562,0.00447
0.826,3.66442,0.00441
0.828,3.66321,0.00434
0.83,3.662,0.00427
0.832,3.66079,0.00421
0.834,3.65959,0.00414
0.836,3.65839,0.00408
0.838,3.6572,0.00402
0.84,3.656,0.00395
0.842,3.6548,0.00389
0.844,3.6536,0.00382
0.846,3.6524,0.00375
0.848,3.6512,0.00369
0.85,3.65,0.00362
0.852,3.6488,0.00355
0.854,3.6476,0.00348
0.856,3.6464,0.00341
0.858,3.6452,0.00335
0.86,3.644,0.00328
0.862,3.6428,0.00322
0.864,3.6416,0.00317
0.866,3.6404,0.00311
0.868,3.6392,0.00305
0.87,3.638,0.00299
0.872,3.6368,0.00293
0.874,3.6356,0.00287
0.876,3.6344,0.0028
0.878,3.6332,0.00274
0.88,3.632,0.00268
0.882,3.6308,0.00263
0.884,3.6296,0.00257
0.886,3.6284,0.00253
0.888,3.6272,0.00248
0.89,3.626,0.00243
0.892,3.6248,0.00238
0.894,3.6236,0.00233
0.896,3.6224,0.00229
0.898,3.6212,0.00224
0.9,3.62,0.00219
0.902,3.6188,0.00215
0.904,3.6176,0.0021
0.906,3.61639,0.00206
0.908,3.6152,0.00201
0.91,3.614,0.00197
0.912,3.61281,0.00193
0.914,3.61162,0.00188
0.916,3.61042,0.00184
0.918,3.60922,0.0018
0.92,3.608,0.00176
0.922,3.60677,0.00172
0.924,3.60553,0.00167
0.926,3.60431,0.00163
0.928,3.60313,0.00159
0.93,3.602,0.00155
0.932,3.60093,0.00152
0.934,3.59992,0.00148
0.936,3.59893,0.00144
0.938,3.59797,0.00141
0.94,3.597,0.00137
0.942,3.59602,0.00133
0.944,3.59502,0.0013
0.946,3.59401,0.00126
0.948,3.593,0.00122
0.95,3.592,0.00119
0.952,3.591,0.00115
0.954,3.59001,0.00112
0.956,3.58902,0.00109
0.958,3.58802,0.00105
0.96,3.587,0.00102
0.962,3.58597,9.94E-04
0.964,3.58493,9.64E-04
0.966,3.58392,9.36E-04
0.968,3.58293,9.08E-04
0.97,3.582,8.80E-04
0.972,3.58113,8.53E-04
0.974,3.58032,8.26E-04
0.976,3.57953,8.00E-04
0.978,3.57877,7.74E-04
0.98,3.578,7.48E-04
0.982,3.57722,7.22E-04
0.984,3.57642,6.97E-04
0.986,3.57561,6.73E-04
0.988,3.5748,6.48E-04
0.99,3.574,6.24E-04
0.992,3.5732,6.00E-04
0.994,3.57241,5.77E-04
0.996,3.57162,5.54E-04
0.998,3.57082,5.31E-04
1,3.57,5.09E-04
1.002,3.56917,4.88E-04
1.004,3.56833,4.68E-04
1.006,3.56752,4.48E-04
1.008,3.56673,4.29E-04
1.01,3.566,4.11E-04
1.012,3.56533,3.93E-04
1.014,3.56471,3.75E-04
1.016,3.56413,3.57E-04
1.018,3.56357,3.40E-04
1.02,3.563,3.24E-04
1.022,3.56242,3.08E-04
1.024,3.56182,2.92E-04
