wl,n,k
6.34E-01,2.55E+00,4.30E-07
6.36E-01,2.55E+00,4.20E-07
6.38E-01,2.55E+00,4.10E-07
6.40E-01,2.55E+00,4.00E-07
6.42E-01,2.55E+00,4.00E-07
6.44E-01,2.55E+00,4.00E-07
6.46E-01,2.54E+00,4.00E-07
6.48E-01,2.54E+00,4.00E-07
6.50E-01,2.54E+00,4.00E-07
6.52E-01,2.54E+00,4.00E-07
6.54E-01,2.54E+00,4.00E-07
6.56E-01,2.54E+00,4.00E-07
6.58E-01,2.54E+00,4.00E-07
6.60E-01,2.54E+00,4.00E-07
6.62E-01,2.54E+00,4.00E-07
6.64E-01,2.54E+00,4.00E-07
6.66E-01,2.53E+00,4.00E-07
6.68E-01,2.53E+00,4.00E-07
6.70E-01,2.53E+00,4.00E-07
6.72E-01,2.53E+00,4.00E-07
6.74E-01,2.53E+00,4.00E-07
6.76E-01,2.53E+00,4.00E-07
6.78E-01,2.53E+00,4.00E-07
6.80E-01,2.53E+00,4.00E-07
6.82E-01,2.53E+00,3.90E-07
6.84E-01,2.53E+00,3.80E-07
6.86E-01,2.53E+00,3.70E-07
6.88E-01,2.53E+00,3.60E-07
6.90E-01,2.52E+00,3.50E-07
6.92E-01,2.52E+00,3.40E-07
6.94E-01,2.52E+00,3.30E-07
6.96E-01,2.52E+00,3.20E-07
6.98E-01,2.52E+00,3.10E-07
7.00E-01,2.52E+00,3.00E-07
7.02E-01,2.52E+00,3.00E-07
7.04E-01,2.52E+00,3.00E-07
7.06E-01,2.52E+00,3.00E-07
7.08E-01,2.52E+00,3.00E-07
7.10E-01,2.52E+00,3.00E-07
7.12E-01,2.52E+00,3.00E-07
7.14E-01,2.52E+00,3.00E-07
7.16E-01,2.52E+00,3.00E-07
7.18E-01,2.52E+00,3.00E-07
7.20E-01,2.52E+00,3.00E-07
7.22E-01,2.52E+00,3.00E-07
7.24E-01,2.51E+00,3.00E-07
7.26E-01,2.51E+00,3.00E-07
7.28E-01,2.51E+00,3.00E-07
7.30E-01,2.51E+00,3.00E-07
7.32E-01,2.51E+00,3.00E-07
7.34E-01,2.51E+00,3.00E-07
7.36E-01,2.51E+00,3.00E-07
7.38E-01,2.51E+00,3.00E-07
7.40E-01,2.51E+00,3.00E-07
7.42E-01,2.51E+00,3.00E-07
0.744,2.5088,3.00E-07
0.746,2.5082,3.00E-07
0.748,2.5076,3.00E-07
0.75,2.507,3.00E-07
0.752,2.5064,3.00E-07
0.754,2.5058,3.00E-07
0.756,2.5052,3.00E-07
0.758,2.5046,3.00E-07
0.76,2.504,3.00E-07
0.762,2.5033,3.00E-07
0.764,2.5026,3.00E-07
0.766,2.5019,3.00E-07
0.768,2.5012,3.00E-07
0.77,2.5005,3.00E-07
0.772,2.4998,3.00E-07
0.774,2.4991,3.00E-07
0.776,2.4984,3.00E-07
0.778,2.4977,3.00E-07
0.78,2.497,3.00E-07
0.782,2.4962,3.00E-07
0.784,2.4954,3.00E-07
0.786,2.4946,3.00E-07
0.788,2.4938,3.00E-07
0.79,2.493,3.00E-07
0.792,2.4922,3.00E-07
0.794,2.4914,3.00E-07
0.796,2.4906,3.00E-07
0.798,2.4898,3.00E-07
0.8,2.489,3.00E-07
0.802,2.4883,3.00E-07
0.804,2.4876,3.00E-07
0.806,2.4869,3.00E-07
0.808,2.4862,3.00E-07
0.81,2.4855,3.00E-07
0.812,2.4848,3.00E-07
0.814,2.4841,3.00E-07
0.816,2.4834,3.00E-07
0.818,2.4827,3.00E-07
0.82,2.482,3.00E-07
0.822,2.4814,2.90E-07
0.824,2.4808,2.80E-07
0.826,2.4802,2.70E-07
0.828,2.4796,2.60E-07
0.83,2.479,2.50E-07
0.832,2.4784,2.40E-07
0.834,2.4778,2.30E-07
0.836,2.4772,2.20E-07
0.838,2.4766,2.10E-07
0.84,2.476,2.00E-07
0.842,2.4754,2.00E-07
0.844,2.4748,2.00E-07
0.846,2.4742,2.00E-07
0.848,2.4736,2.00E-07
0.85,2.473,2.00E-07
0.852,2.4724,2.00E-07
0.854,2.4718,2.00E-07
0.856,2.4712,2.00E-07
