wl,n,k
6.04E-01,1.75E+00,1.99E-02
6.06E-01,1.75E+00,1.99E-02
6.08E-01,1.75E+00,1.99E-02
6.10E-01,1.75E+00,2.00E-02
6.12E-01,1.75E+00,2.02E-02
6.14E-01,1.75E+00,2.05E-02
6.16E-01,1.75E+00,2.07E-02
6.18E-01,1.75E+00,2.09E-02
6.20E-01,1.75E+00,2.10E-02
6.22E-01,1.75E+00,2.09E-02
6.24E-01,1.75E+00,2.07E-02
6.26E-01,1.75E+00,2.05E-02
6.28E-01,1.75E+00,2.02E-02
6.30E-01,1.75E+00,2.00E-02
6.32E-01,1.75E+00,1.99E-02
6.34E-01,1.75E+00,1.99E-02
6.36E-01,1.75E+00,1.99E-02
6.38E-01,1.75E+00,2.00E-02
6.40E-01,1.75E+00,2.00E-02
6.42E-01,1.75E+00,2.00E-02
6.44E-01,1.75E+00,2.00E-02
6.46E-01,1.75E+00,2.00E-02
6.48E-01,1.75E+00,2.00E-02
6.50E-01,1.75E+00,2.00E-02
6.52E-01,1.75E+00,2.00E-02
6.54E-01,1.75E+00,2.00E-02
6.56E-01,1.75E+00,2.00E-02
6.58E-01,1.75E+00,2.00E-02
6.60E-01,1.75E+00,2.00E-02
6.62E-01,1.75E+00,2.00E-02
6.64E-01,1.75E+00,2.00E-02
6.66E-01,1.75E+00,2.00E-02
6.68E-01,1.75E+00,2.00E-02
6.70E-01,1.75E+00,2.00E-02
6.72E-01,1.75E+00,2.00E-02
6.74E-01,1.75E+00,1.99E-02
6.76E-01,1.75E+00,1.99E-02
6.78E-01,1.75E+00,1.99E-02
6.80E-01,1.75E+00,2.00E-02
6.82E-01,1.75E+00,2.02E-02
6.84E-01,1.75E+00,2.05E-02
6.86E-01,1.75E+00,2.07E-02
6.88E-01,1.75E+00,2.09E-02
6.90E-01,1.75E+00,2.10E-02
6.92E-01,1.75E+00,2.09E-02
6.94E-01,1.75E+00,2.07E-02
6.96E-01,1.75E+00,2.05E-02
6.98E-01,1.75E+00,2.02E-02
7.00E-01,1.75E+00,2.00E-02
7.02E-01,1.75E+00,1.99E-02
7.04E-01,1.75E+00,1.99E-02
7.06E-01,1.75E+00,1.99E-02
7.08E-01,1.75E+00,2.00E-02
7.10E-01,1.75E+00,2.00E-02
7.12E-01,1.75E+00,2.00E-02
7.14E-01,1.75E+00,2.00E-02
7.16E-01,1.75E+00,2.00E-02
7.18E-01,1.75E+00,2.00E-02
7.20E-01,1.75E+00,2.00E-02
7.22E-01,1.75E+00,2.00E-02
7.24E-01,1.75E+00,2.00E-02
7.26E-01,1.75E+00,2.00E-02
7.28E-01,1.75E+00,2.00E-02
7.30E-01,1.75E+00,2.00E-02
7.32E-01,1.75E+00,2.00E-02
7.34E-01,1.75E+00,2.00E-02
7.36E-01,1.75E+00,2.00E-02
7.38E-01,1.75E+00,2.00E-02
7.40E-01,1.75E+00,2.00E-02
7.42E-01,1.75E+00,2.00E-02
0.744,1.75003,0.02
0.746,1.75002,0.02
0.748,1.75001,0.02
0.75,1.75,0.02
0.752,1.74999,0.02
0.754,1.74999,0.02
0.756,1.74999,0.02
0.758,1.75,0.02
0.76,1.75,0.02
0.762,1.75,0.02
0.764,1.75,0.02
0.766,1.75,0.02
0.768,1.75,0.02
0.77,1.75,0.02
0.772,1.75,0.02
0.774,1.75,0.02
0.776,1.75,0.02
0.778,1.75,0.02
0.78,1.75,0.02
0.782,1.75,0.02
0.784,1.75,0.02
0.786,1.75,0.02
0.788,1.75,0.02
0.79,1.75,0.02
0.792,1.75,0.02
0.794,1.75,0.02
0.796,1.75,0.02
0.798,1.75,0.02
0.8,1.75,0.02
0.802,1.75,0.02
0.804,1.75,0.02
0.806,1.75,0.02
0.808,1.75,0.02
0.81,1.75,0.02
0.812,1.75,0.02
0.814,1.75,0.02
0.816,1.75,0.02
0.818,1.75,0.02
0.82,1.75,0.02
0.822,1.75,0.02
0.824,1.75,0.02
0.826,1.75,0.02
0.828,1.75,0.02
0.83,1.75,0.02
0.832,1.75,0.02
0.834,1.75,0.02
0.836,1.75,0.02
0.838,1.75,0.02
0.84,1.75,0.02
0.842,1.75,0.02
0.844,1.75,0.02
0.846,1.75,0.02
0.848,1.75,0.02
0.85,1.75,0.02
0.852,1.75,0.02
0.854,1.75,0.02
0.856,1.75,0.02
0.858,1.75,0.02
0.86,1.75,0.02
0.862,1.75,0.02
0.864,1.75,0.02
0.866,1.75,0.02
0.868,1.75,0.02
0.87,1.75,0.02
0.872,1.75,0.02
0.874,1.75,0.02
0.876,1.75,0.02
0.878,1.75,0.02
0.88,1.75,0.02
0.882,1.75,0.02
0.884,1.75,0.02
0.886,1.75,0.02
